# año-mes	pob.	elect.	vot.	partidos millones de votos
#			mill.	mill.	mill.	UCD		PSOE	PCE		AP/PP	IU		POD		Cs

1977-06		36.08	23.58	18.59	6.31	5.37	1.71	1.50
1979-03		37.76	26.84	18.26	6.27	5.47	1.92	1.09
1982-10		37.52	26.85	21.47	1.42	10.13	0.85	5.55
1986-06		38.47	29.12	20.53	1.87	8.90	0.93	5.25	0.93
1989-10		38.48	29.60	20.65	1.61	8.11	--		5.28	1.86
1993-06		38.87	31.03	23.72	--		9.15	--		8.20	2.25
1996-03		40.23	32.53	25.17	--		9.42	--		9.71	2.64
2000-03		39.85	33.97	23.34	--		7.92	--		10.32	1.26
2004-03		42.71	34.57	26.15	--		11.02	--		9.76	1.84
2008-03		45.20	35.07	25.90	--		11.29	--		10.28	0.97
2011-11		47.02	35.78	24.67	--		7.00	--		10.87	1.97
2015-12		46.44	36.51	25.44	--		5.54	--		7.24	0.92	3.20	3.51
2016-06		46.52	36.52	24.15	--		5.42	--		7.90	3.20	3.20	3.12
